index,country,person_name,unique_id,individual_id,company_id,gender,company_name,dual_listed,ticker,role_name,role_start_date,role_end_date,tenure_days,tenure_year,start_year,start_month,start_quarter,start_half,sector_bx,industry,appointment,revenue,market_cap,half_year,count
S&P 500,USA,Brian T Crutcher,1.08917E+11,1089168,30509,Male,TEXAS INSTRUMENTS INC,No,TXN,President/CEO,01/06/2018,00:00.0,46,0.126027397,2018,6,2,H1,Electronic & Electrical Equipment,Industrial & Natural Resources,Internal,20028000000,1.58685E+11,2018 H1,1
FTSE 250,UK,Richard John Ingram,11179589331,1117958,9331,Male,DIPLOMA PLC,No,DPLM,CEO,08/05/2018,00:00.0,112,0.306849315,2018,5,2,H1,Diversified Industrials,Industrial & Natural Resources,External,1130558256,4917307287,2018 H1,1
FTSE 250,UK,Kakhaber (Kaha) Kiknavelidze,1.2067E+13,1206701,1823913,Male,BANK OF GEORGIA GROUP PLC (BGEO Group PLC prior to 05/2018),No,BGEO,CEO,21/05/2018,00:00.0,252,0.690410959,2018,5,2,H1,Banks,Financial Services,Internal,1079201983,1549944452,2018 H1,1
S&P 500,USA,Doctor Charles (Chip) P Blankenship Jr,8371841319,837184,1319,Male,HOWMET AEROSPACE INC (Arconic Inc prior to 04/2020),No,HWM,CEO,15/01/2018,00:00.0,387,1.060273973,2018,1,1,H1,Diversified Industrials,Industrial & Natural Resources,External,5663000000,20230596065,2018 H1,1
HANG SENG,Hong Kong,Yong Tang,1.13391E+11,1133906,71391,Male,CHINA RESOURCES LAND LTD (CR LAND),No,1109,CEO,04/12/2018,00:00.0,70,0.191780822,2018,12,4,H2,Real Estate,Financial Services,Internal,33379571679,29378137234,2018 H2,1
ASX 200,Australia,Heath Albert Hellewell,1.20636E+13,1206361,1543098,Male,CAPRICORN METALS LTD (Malagasy Minerals Ltd prior to 02/2016),No,CMM,MD/Chief Executive,08/11/2018,00:00.0,103,0.282191781,2018,11,4,H2,Mining,Industrial & Natural Resources,Internal,197957379,1057181267,2018 H2,1
FTSE 250,UK,Patrick Joseph Bergin,1.19621E+13,1196211,1932134,Male,CREST NICHOLSON HOLDINGS PLC,No,CRST,CEO,22/03/2018,00:00.0,369,1.010958904,2018,3,1,H1,Construction & Building Materials,Industrial & Natural Resources,Internal,1047972288,586155307,2018 H1,1
ASX 200,Australia,James Hooke,3.45789E+12,345789,1622154,Male,ATLAS ARTERIA LTD (Macquarie Atlas Roads Ltd prior to 05/2018),No,ALX,CEO,01/02/2018,00:00.0,424,1.161643836,2018,2,1,H1,Transport,Industrial & Natural Resources,External,95700203,6069085052,2018 H1,1
S&P/TSX Composite,Canada,Stephen (Steve) E Johnson,1.20245E+13,1202445,1984815,Male,CHOICE PROPERTIES REAL ESTATE INVESTMENT TRUST,No,CHP.UN,President/CEO,04/05/2018,00:00.0,362,0.991780822,2018,5,2,H1,Real Estate,Financial Services,Internal,933479730,3273559886,2018 H1,1
HANG SENG,Hong Kong,Zhenguo Wang,1.14635E+13,1146351,1651554,Male,CSPC PHARMACEUTICAL GROUP LTD (China Pharmaceutical Group Ltd prior to 03/2013),No,1093,Vice Chairman/Rotating CEO,25/05/2018,00:00.0,361,0.989041096,2018,5,2,H1,Pharmaceuticals and Biotechnology,Healthcare,Internal,4484885332,10142597167,2018 H1,1
S&P 500,USA,Robert (Rob) J McNally,1.08397E+11,1083966,10909,Male,EQT CORP (Equitable Resources Inc prior to 02/2009),No,EQT,President/CEO,12/11/2018,00:00.0,240,0.657534247,2018,11,4,H2,Utilities - Other,Industrial & Natural Resources,Internal,7497689000,14207132133,2018 H2,1
FTSE 100,UK,John Michael Flint,1.28251E+11,1282510,15160,Male,HSBC HOLDINGS PLC,Yes,HSBA,Group Chief Executive,21/02/2018,00:00.0,530,1.452054795,2018,2,1,H1,Banks,Financial Services,Internal,61596000000,1.54033E+11,2018 H1,1
HANG SENG,Hong Kong,John Michael Flint,1.28251E+11,1282510,15160,Male,HSBC HOLDINGS PLC,Yes,HSBA,Group Chief Executive,21/02/2018,00:00.0,530,1.452054795,2018,2,1,H1,Banks,Financial Services,Internal,61596000000,1.54033E+11,2018 H1,1
EURONEXT 100,Europe,Maximo Ibarra,1.20119E+11,1201188,18088,Male,KPN (KONINKLIJKE) NV,No,KPN,Chairman/CEO,18/04/2018,00:00.0,530,1.452054795,2018,4,2,H1,Telecommunication Services,Technology,External,5754289697,14357757668,2018 H1,1
CAC 40,France,Thierry Yves Bollore,1.25357E+11,1253572,26049,Male,RENAULT SA (REGIE NATIONALE DES USINES),Yes,RNO,CEO,24/01/2019,00:00.0,260,0.712328767,2019,1,1,H1,Automobiles & Parts,Industrial & Natural Resources,Internal,49673846919,12112427393,2019 H1,1
EURONEXT 100,Europe,Thierry Yves Bollore,1.25357E+11,1253572,26049,Male,RENAULT SA (REGIE NATIONALE DES USINES),Yes,RNO,CEO,24/01/2019,00:00.0,260,0.712328767,2019,1,1,H1,Automobiles & Parts,Industrial & Natural Resources,Internal,49673846919,12112427393,2019 H1,1
FTSE 100,UK,Namal Sasrika Nawana,1.28452E+11,1284518,28295,Male,SMITH & NEPHEW PLC,No,SN.,CEO,07/05/2018,00:00.0,542,1.484931507,2018,5,2,H1,Health,Healthcare,External,5215000000,12966867285,2018 H1,1
ASX 200,Australia,Carla Jayne Hrdlicka,1.08632E+13,1086320,1894903,Female,THE A2 MILK COMPANY LTD (A2 Corporation Ltd prior to 04/2014),No,ATM,CEO/MD,16/07/2018,00:00.0,511,1.4,2018,7,3,H2,Beverages,Consumer,External,900470601,2433675751,2018 H2,1
S&P 500,USA,Thomas (Tom) L Bené,88670629837,886706,29837,Male,SYSCO CORP,No,SYY,President/CEO,01/01/2018,00:00.0,760,2.082191781,2018,1,1,H1,Food Producers & Processors,Consumer,Internal,68636146000,37588227760,2018 H1,1
HANG SENG,Hong Kong,Yuan Siong Lee,1.09314E+12,1093142,643294,Male,PING AN INSURANCE (GROUP) CO OF CHINA LTD,No,"2318, 601318",Executive VP/Chief Insurance Business Officer/Co-CEO,14/12/2018,00:00.0,414,1.134246575,2018,12,4,H2,Insurance,Financial Services,External,1.77058E+11,1.17325E+11,2018 H2,1
ASX 200,Australia,Scott Sullivan,1.94233E+12,1942333,930838,Male,PALADIN ENERGY LTD (Paladin Resources Ltd prior to 11/2007),No,PDN,CEO,01/07/2018,00:00.0,583,1.597260274,2018,7,3,H2,Mining,Industrial & Natural Resources,External,4700000,1476128585,2018 H2,1
S&P 500,USA,Christopher Marc Doyle,1.38108E+13,1381078,2696655,Male,DUPONT DE NEMOURS INC (Dowdupont Inc prior to 06/2019),No,DD,CEO,01/06/2019,00:00.0,261,0.715068493,2019,6,2,H1,Chemicals,Industrial & Natural Resources,Internal,13017000000,31931501744,2019 H1,1
S&P/TSX Composite,Canada,David Cheney,2.00797E+13,2007971,2723443,Male,STELCO HOLDINGS INC,No,STLC,CEO,20/02/2019,00:00.0,366,1.002739726,2019,2,1,H1,Steel & Other Metals,Industrial & Natural Resources,Internal,3261244083,1746608489,2019 H1,1
S&P 500,USA,Keith G Block,3356969444,33569,69444,Male,SALESFORCE INC (Salesforce.com Inc prior to 04/2022),No,CRM,Co-CEO,07/08/2018,00:00.0,567,1.553424658,2018,8,3,H2,Software & Computer Services,Technology,Internal,31352000000,2.04681E+11,2018 H2,1
FTSE 250,UK,Hendrik Jacobus Du Toit,1.00906E+11,1009055,16872,Male,INVESTEC PLC,No,"INL, INVP, INVR",Joint Group CEO,01/10/2018,00:00.0,532,1.457534247,2018,10,4,H2,Speciality & Other Finance,Financial Services,External,2617356632,5168234296,2018 H2,1
HANG SENG,Hong Kong,Difan (Leo) Shen,2001952252,2001952,252,Male,ALIBABA HEALTH INFORMATION TECHNOLOGY LTD (CITIC 21CN Company Ltd prior to 10/2014),No,241,CEO,29/03/2018,00:00.0,718,1.967123288,2018,3,1,H1,Food & Drug Retailers,Consumer,External,3245457625,8088522693,2018 H1,1
Nikkei 225,Japan,Yuji Okuma,1.40093E+13,1400932,2019953,Male,TOKYU FUDOSAN HOLDINGS CORP,No,3289,President/CEO (Representative Director),01/08/2018,00:00.0,609,1.668493151,2018,8,3,H2,Real Estate,Financial Services,Internal,7457484285,4112566552,2018 H2,1
Nikkei 225,Japan,Kanetsugu (Sugu) Mike,1.40625E+12,1406246,874388,Male,MITSUBISHI UFJ FINANCIAL GROUP INC,No,8306,President/CEO (Representative Corporate Executive Officer),01/04/2019,00:00.0,366,1.002739726,2019,4,2,H1,Banks,Financial Services,Internal,32251755647,94655732010,2019 H1,1
S&P 500,USA,Howard Arnold Willard III,62522124343,625221,24343,Male,ALTRIA GROUP INC (Philip Morris Cos prior to 01/2003),No,MO,Chairman/CEO,17/05/2018,00:00.0,698,1.912328767,2018,5,2,H1,Tobacco,Consumer,Internal,25096000000,82263547016,2018 H1,1
DAX,Germany,Jennifer (Jen) B Morgan,1.12498E+11,1124981,27066,Female,SAP SE (SAP AG prior to 07/2014),No,SAP,Co-CEO,10/10/2019,00:00.0,203,0.556164384,2019,10,4,H2,Software & Computer Services,Technology,Internal,33055578199,1.62366E+11,2019 H2,1
Nifty 50,India,Shri Sanjeev Nautiyal,1.98995E+13,1989945,2824161,Male,SBI LIFE INSURANCE COMPANY LTD,No,SBILIFE,CEO/MD,10/03/2018,00:00.0,790,2.164383562,2018,3,1,H1,Life Assurance,Financial Services,External,10936911728,15628189757,2018 H1,1
FTSE 250,UK,Rico Herr Back,1.34184E+13,1341843,1993672,Male,INTERNATIONAL DISTRIBUTIONS SERVICES PLC (Royal Mail PLC prior to 10/2022),No,"IDS, RMG",Group CEO,01/06/2018,00:00.0,714,1.956164384,2018,6,2,H1,Transport,Industrial & Natural Resources,Internal,14731618600,2661432822,2018 H1,1
FTSE 250,UK,Doctor Andrew (Andy) Charles Palmer,6.44555E+12,644555,2924599,Male,ASTON MARTIN LAGONDA GLOBAL HOLDINGS PLC,No,AML,President/Group CEO,08/10/2018,00:00.0,595,1.630136986,2018,10,4,H2,Automobiles & Parts,Industrial & Natural Resources,External,1671269625,3083562906,2018 H2,1
HANG SENG,Hong Kong,Yingxin Gao,7.91954E+12,791954,1100290,Male,BOC HONG KONG HOLDINGS LTD,No,2388,Vice Chairman/CEO,01/01/2018,00:00.0,875,2.397260274,2018,1,1,H1,Banks,Financial Services,Internal,9156829665,30176248431,2018 H1,1
Nikkei 225,Japan,Yoshinori Kanehana,1.39326E+11,1393263,17730,Male,KAWASAKI HEAVY INDUSTRIES LTD (KHI),No,7012,President/CEO (Representative Director),01/04/2018,00:00.0,816,2.235616438,2018,4,2,H1,Engineering & Machinery,Industrial & Natural Resources,Internal,12330450580,4410769859,2018 H1,1
FTSE 250,UK,Timothy (Tim) Laurence Attlee,1.4056E+13,1405598,2120709,Male,EMPIRIC STUDENT PROPERTY PLC,No,ESP,CEO,29/11/2018,00:00.0,579,1.58630137,2018,11,4,H2,Real Estate,Financial Services,Internal,87102000,654061403,2018 H2,1
S&P 500,USA,William (Bill) Dean Johnson,4799624303,47996,24303,Male,PG&E CORP,No,PCG,President/CEO,01/05/2019,00:00.0,426,1.167123288,2019,5,2,H1,Utilities - Other,Industrial & Natural Resources,External,21680000000,34976016565,2019 H1,1
FTSE 100,UK,Maurice Ewen Tulloch,12521056434,1252105,6434,Male,AVIVA PLC (CGNU plc prior to 07/2002),No,AV.,Group CEO,04/03/2019,00:00.0,490,1.342465753,2019,3,1,H1,Life Assurance,Financial Services,Internal,22887260250,13310766258,2019 H1,1
S&P 500,USA,Olajide (Jide) James Zeitlin,2716837173,271683,7173,Male,TAPESTRY INC (Coach Inc prior to 10/2017),No,TPR,Chairman/CEO,04/09/2019,00:00.0,320,0.876712329,2019,9,3,H2,Clothing & Personal Products,Consumer,Internal,6684500000,9820113797,2019 H2,1
HANG SENG,Hong Kong,Haimin Wang,1.08568E+11,1085683,44325,Male,ORIENT OVERSEAS INTERNATIONAL LTD,No,316,CEO,18/09/2019,00:00.0,327,0.895890411,2019,9,3,H2,Transport,Industrial & Natural Resources,Internal,19820188000,9485214423,2019 H2,1
ASX 200,Australia,Patrick (Pat) Charles Regan,44188725475,441887,25475,Male,QBE INSURANCE GROUP LTD,No,QBE,Group CEO,01/01/2018,00:00.0,981,2.687671233,2018,1,1,H1,Insurance,Financial Services,Internal,20001000000,15542344150,2018 H1,1
FTSE 100,UK,David (Dave) Jenkinson,60663324211,606633,24211,Male,PERSIMMON PLC,No,PSN,Group CEO,26/02/2019,00:00.0,572,1.567123288,2019,2,1,H1,Construction & Building Materials,Industrial & Natural Resources,Internal,4616164050,3941160972,2019 H1,1
S&P 500,USA,Noel W White,45385131563,453851,31563,Male,TYSON FOODS INC,No,TSN,CEO,30/09/2018,00:00.0,734,2.010958904,2018,9,3,H2,Food Producers & Processors,Consumer,Internal,53282000000,14878349503,2018 H2,1
FTSE 250,UK,Andreas D Athanassopoulos,1.00789E+13,1007888,1635604,Male,CURRYS PLC (Dixons Carphone PLC prior to 09/2021),No,"CPW, CURY, DC.",CEO/Chief Customer Officer,01/05/2018,00:00.0,945,2.589041096,2018,5,2,H1,General Retailers,Consumer,External,12755877120,697115963,2018 H1,1
S&P 500,USA,Terry D Bassham,3.45671E+12,345671,2824528,Male,EVERGY INC,No,EVRG,President/CEO,05/06/2018,00:00.0,944,2.58630137,2018,6,2,H1,Electricity,Industrial & Natural Resources,External,5859100000,13694726464,2018 H1,1
CAC 40,France,Michael (Mike) Mark Manley,1.14465E+11,1144653,11724,Male,STELLANTIS NV (Fiat Chrysler Automobiles NV prior to 01/2021),No,STLA,CEO,21/07/2018,00:00.0,911,2.495890411,2018,7,3,H2,Automobiles & Parts,Industrial & Natural Resources,Internal,1.92301E+11,54569824501,2018 H2,1
FTSE 100,UK,Shay Segev,1.11762E+13,1117616,1644259,Male,ENTAIN PLC (GVC Holdings PLC prior to 12/2020),No,"ENT, GVC",CEO,17/07/2020,00:00.0,188,0.515068493,2020,7,3,H2,Leisure & Hotels,Consumer,Internal,5198174775,9840975097,2020 H2,1
FTSE 250,UK,Simon Mark Haslam,1.6727E+13,1672703,3020952,Male,NETWORK INTERNATIONAL HOLDINGS PLC,No,NETW,Group CEO,10/04/2019,00:00.0,662,1.81369863,2019,4,2,H1,Business Services,Technology,External,438371000,2601912642,2019 H1,1
S&P 500,USA,Robert (Bob) Holmes Swan,4807616239,48076,16239,Male,INTEL CORP,No,INTC,CEO,30/01/2019,00:00.0,747,2.046575342,2019,1,1,H1,Information Technology Hardware,Technology,Internal,63054000000,1.33368E+11,2019 H1,1
FTSE 250,UK,Clare Elizabeth Gilmartin,1.33658E+13,1336582,3047692,Female,TRAINLINE PLC,No,TRN,CEO,21/06/2019,00:00.0,618,1.693150685,2019,6,2,H1,Leisure & Hotels,Consumer,External,393714871,1529562533,2019 H1,1
ASX 200,Australia,Louis (Lou) DiNardo,4.53223E+12,453223,1739476,Male,BRAINCHIP HOLDINGS LTD (Aziana Ltd prior to 09/2015),No,BRN,CEO/MD,01/05/2018,00:00.0,1050,2.876712329,2018,5,2,H1,Software & Computer Services,Technology,External,1588483,414480341,2018 H1,1
Nikkei 225,Japan,Tatsuro Kosaka,11265246776,1126524,6776,Male,CHUGAI PHARMACEUTICAL COMPANY LTD,No,4519,Chairman/CEO (Representative Director),22/03/2018,00:00.0,1097,3.005479452,2018,3,1,H1,Pharmaceuticals and Biotechnology,Healthcare,Internal,9609071026,45204908817,2018 H1,1
Nikkei 225,Japan,Akiyoshi Koji,13512372683,1351237,2683,Male,ASAHI GROUP HOLDINGS LTD (Asahi Breweries Ltd prior to 07/2011),No,2502,President/CEO (Representative Director),26/03/2018,00:00.0,1095,3,2018,3,1,H1,Beverages,Consumer,Internal,19426918224,19641698996,2018 H1,1
ASX 200,Australia,James (Jim) Bruce Leighton,7.96743E+12,796743,2560097,Male,INGHAMS GROUP LTD,No,ING,CEO/MD,14/11/2018,00:00.0,866,2.37260274,2018,11,4,H2,Food Producers & Processors,Consumer,External,1883976983,665990796,2018 H2,1
FTSE 100,UK,Janie Goddard,1.39249E+11,1392491,14223,Female,HALMA PLC,No,HLMA,Sector Chief Executive,01/11/2019,00:00.0,517,1.416438356,2019,11,4,H2,Engineering & Machinery,Industrial & Natural Resources,External,2284891488,10533052070,2019 H2,1
Nikkei 225,Japan,Ken Miyauchi,1.13897E+13,1138972,3346817,Male,SOFTBANK CORP,No,9434,President/CEO,19/12/2018,00:00.0,834,2.284931507,2018,12,4,H2,Telecommunication Services,Technology,External,46751094561,51342068940,2018 H2,1
Nikkei 225,Japan,Hiroshi Ohkubo,1.39777E+11,1397771,22671,Male,NTN CORPORATION,No,6472,President/CEO (Representative Executive Officer),25/06/2019,00:00.0,646,1.769863014,2019,6,2,H1,Engineering & Machinery,Industrial & Natural Resources,Internal,5274531040,1139513773,2019 H1,1
Nifty 50,India,Doctor Pawan Kumar Goenka,65094919464,650949,19464,Male,MAHINDRA & MAHINDRA LTD,No,M&M,CEO/MD,01/04/2020,00:00.0,366,1.002739726,2020,4,2,H1,Engineering & Machinery,Industrial & Natural Resources,Internal,12000985913,23277768808,2020 H1,1
S&P/TSX Composite,Canada,Charles (Chuck) Victor Magro,1.07968E+13,1079683,2754066,Male,NUTRIEN LTD,No,NTR,President/CEO,02/01/2018,00:00.0,1202,3.293150685,2018,1,1,H1,Chemicals,Industrial & Natural Resources,External,37884000000,29199975308,2018 H1,1
ASX 200,Australia,Brett Redman,1.2747E+12,1274696,874263,Male,AGL ENERGY LTD,No,AGL,CEO/MD,01/01/2019,00:00.0,842,2.306849315,2019,1,1,H1,Utilities - Other,Industrial & Natural Resources,Internal,9117778571,4971114046,2019 H1,1
DAX,Germany,Stefan De Loecker,12036653928,1203665,3928,Male,BEIERSDORF AG,No,BEI,Chairman/CEO,01/01/2019,00:00.0,851,2.331506849,2019,1,1,H1,Clothing & Personal Products,Consumer,Internal,9421658921,32452300718,2019 H1,1
S&P 500,USA,Dean Banks,1.9523E+11,1952303,31563,Male,TYSON FOODS INC,No,TSN,President/CEO,03/10/2020,00:00.0,242,0.663013699,2020,10,4,H2,Food Producers & Processors,Consumer,Internal,53282000000,14878349503,2020 H2,1
ASX 200,Australia,Francesco Alexander de Ferrari,11232062093,1123206,2093,Male,AMP LTD,No,AMP,CEO/MD,01/12/2018,00:00.0,942,2.580821918,2018,12,4,H2,Speciality & Other Finance,Financial Services,External,1615127140,1903085236,2018 H2,1
S&P/TSX Composite,Canada,Anthony Brent Windom,6.45386E+12,645386,1100760,Male,UNI-SELECT INC,No,UNS,President/CEO,02/05/2019,00:00.0,790,2.164383562,2019,5,2,H1,Automobiles & Parts,Industrial & Natural Resources,Internal,1731420000,1528298407,2019 H1,1
Nikkei 225,Japan,Akiyo Matono,1.78236E+11,1782360,22247,Male,NISSUI CORPORATION (Nippon Suisan Kaisha Ltd prior to 12/2022),No,1332,President/CEO (Representative Director),27/06/2018,00:00.0,1100,3.01369863,2018,6,2,H1,Food Producers & Processors,Consumer,Internal,5698934837,1407301263,2018 H1,1
S&P/TSX Composite,Canada,Siegfried W Kiefer,6.41042E+12,641042,1146899,Male,CANADIAN UTILITIES LTD,No,"CU, CU.X",President/CEO,08/05/2019,00:00.0,785,2.150684932,2019,5,2,H1,Electricity,Industrial & Natural Resources,Internal,2988094163,6914105299,2019 H1,1
Nikkei 225,Japan,Takeshi Sugiyama,1.4537E+11,1453698,20850,Male,MITSUBISHI ELECTRIC CORP,No,6503,President/CEO (Representative Executive Officer),01/04/2018,00:00.0,1214,3.326027397,2018,4,2,H1,Electronic & Electrical Equipment,Industrial & Natural Resources,Internal,36778743175,30249490036,2018 H1,1
ASX 200,Australia,Richard Murray,5.30671E+11,530670,925936,Male,JB HI-FI LTD,No,JBH,Group CEO,13/08/2018,00:00.0,1110,3.04109589,2018,8,3,H2,General Retailers,Consumer,Internal,6366790089,3200814692,2018 H2,1
HANG SENG,Hong Kong,Lijun Xin,2.41171E+13,2411711,3311578,Male,JD HEALTH INTERNATIONAL INC,No,6618,CEO,08/12/2020,00:00.0,272,0.745205479,2020,12,4,H2,Health,Healthcare,External,4828479840,20296360707,2020 H2,1
S&P/TSX Composite,Canada,Michael Harvy Holmes,1.30762E+13,1307622,1014985,Male,OCEANAGOLD CORP,No,OGC,President/CEO,05/04/2020,00:00.0,521,1.42739726,2020,4,2,H1,Mining,Industrial & Natural Resources,Internal,744700000,1288732762,2020 H1,1
FTSE 250,UK,Matthew Gregory,1.11237E+11,1112368,11968,Male,FIRSTGROUP PLC,No,FGP,Chief Executive,13/11/2018,00:00.0,1035,2.835616438,2018,11,4,H2,Transport,Industrial & Natural Resources,Internal,5816078250,1278716160,2018 H2,1
CAC 40,France,Veronique Penchienati-Bosetta,19850658678,1985065,8678,Female,DANONE SA (Groupe Danone SA prior to 04/2009),Yes,BN,Co-CEO/Division CEO,15/03/2021,00:00.0,184,0.504109589,2021,3,1,H1,Food Producers & Processors,Consumer,Internal,29618423393,41006367505,2021 H1,1
CAC 40,France,Shane Grant,19969168678,1996916,8678,Male,DANONE SA (Groupe Danone SA prior to 04/2009),Yes,BN,Co-CEO/Division CEO,15/03/2021,00:00.0,184,0.504109589,2021,3,1,H1,Food Producers & Processors,Consumer,Internal,29618423393,41006367505,2021 H1,1
EURONEXT 100,Europe,Veronique Penchienati-Bosetta,19850658678,1985065,8678,Female,DANONE SA (Groupe Danone SA prior to 04/2009),Yes,BN,Co-CEO/Division CEO,15/03/2021,00:00.0,184,0.504109589,2021,3,1,H1,Food Producers & Processors,Consumer,Internal,29618423393,41006367505,2021 H1,1
EURONEXT 100,Europe,Shane Grant,19969168678,1996916,8678,Male,DANONE SA (Groupe Danone SA prior to 04/2009),Yes,BN,Co-CEO/Division CEO,15/03/2021,00:00.0,184,0.504109589,2021,3,1,H1,Food Producers & Processors,Consumer,Internal,29618423393,41006367505,2021 H1,1
EURONEXT 100,Europe,Denis Machuel,1.36652E+11,1366521,28430,Male,SODEXO SA,No,SW,Group CEO,23/01/2018,00:00.0,1346,3.687671233,2018,1,1,H1,Leisure & Hotels,Consumer,Internal,21235443174,15546162118,2018 H1,1
FTSE 100,UK,Raghunath (Raghu) Venkateswarlu Mandava,1.44926E+13,1449264,3049958,Male,AIRTEL AFRICA PLC,No,AAF,CEO/MD,28/06/2019,00:00.0,825,2.260273973,2019,6,2,H1,Telecommunication Services,Technology,External,5268000000,4978814145,2019 H1,1
S&P 500,USA,John Charles Plant,3351151319,335115,1319,Male,HOWMET AEROSPACE INC (Arconic Inc prior to 04/2020),No,HWM,Chairman/Co-CEO,06/02/2019,00:00.0,981,2.687671233,2019,2,1,H1,Diversified Industrials,Industrial & Natural Resources,Internal,5663000000,20230596065,2019 H1,1
S&P 500,USA,Tolga I Oal,16134661319,1613466,1319,Male,HOWMET AEROSPACE INC (Arconic Inc prior to 04/2020),No,HWM,Co-CEO,01/04/2020,00:00.0,561,1.536986301,2020,4,2,H1,Diversified Industrials,Industrial & Natural Resources,Internal,5663000000,20230596065,2020 H1,1
S&P 500,USA,Aldo (Al) Pichelli,27122830261,271228,30261,Male,TELEDYNE TECHNOLOGIES INC,No,TDY,President/CEO,01/01/2019,00:00.0,1018,2.789041096,2019,1,1,H1,Electronic & Electrical Equipment,Industrial & Natural Resources,Internal,5458600000,19183775748,2019 H1,1
S&P/TSX Composite,Canada,David D Sgro,7.96389E+12,796389,3330834,Male,ALGOMA STEEL GROUP INC (Legato Merger Corp prior to 10/2021),No,ASTL,CEO,20/01/2021,00:00.0,272,0.745205479,2021,1,1,H1,Steel & Other Metals,Industrial & Natural Resources,External,3806000000,740792045,2021 H1,1
S&P 500,USA,James (Jim) C Collins Jr,1.01074E+13,1010737,3039776,Male,CORTEVA INC,No,CTVA,CEO,03/06/2019,00:00.0,882,2.416438356,2019,6,2,H1,Food Producers & Processors,Consumer,External,17455000000,40249629260,2019 H1,1
S&P/TSX Composite,Canada,Marie Inkster,4.44919E+11,444918,601012,Female,LUNDIN MINING CORP (South Atlantic Ventures Ltd prior to 08/2004),No,LUN,President/CEO,30/09/2018,00:00.0,1128,3.090410959,2018,9,3,H2,Mining,Industrial & Natural Resources,Internal,2224999281,5997710929,2018 H2,1
HANG SENG,Hong Kong,Jiping Yang,2.20646E+13,2206463,1013688,Male,CHINA SHENHUA ENERGY CO LTD,No,"1088, 601088",CEO/General Manager,23/08/2019,00:00.0,816,2.235616438,2019,8,3,H2,Oil & Gas,Industrial & Natural Resources,External,49946529826,75370836961,2019 H2,1
ASX 200,Australia,Doctor Brett Peter Cairns,1.0601E+13,1060103,1066198,Male,MAGELLAN FINANCIAL GROUP LTD,No,MFG,CEO,05/10/2018,00:00.0,1158,3.17260274,2018,10,4,H2,Speciality & Other Finance,Financial Services,Internal,381738444,1072640283,2018 H2,1
FTSE 250,UK,Simon Mark Smith,1.40566E+13,1405662,2123941,Male,SSP GROUP PLC,No,SSPG,Group CEO,01/06/2019,00:00.0,937,2.567123288,2019,6,2,H1,Leisure & Hotels,Consumer,Internal,2439496458,2471708632,2019 H1,1
FTSE 250,UK,Mark John Dorman,1.08908E+12,1089077,814507,Male,STHREE PLC,No,"STEM, STHR",CEO,18/03/2019,00:00.0,1019,2.791780822,2019,3,1,H1,Business Services,Technology,External,1978860505,568867774,2019 H1,1
ASX 200,Australia,Richard J Howes,5.56043E+11,556042,604964,Male,CHALLENGER LTD (Challenger Financial Services Group Ltd prior to 11/2010),No,CGF,CEO/MD,02/01/2019,00:00.0,1095,3,2019,1,1,H1,Speciality & Other Finance,Financial Services,Internal,1283219922,2962949289,2019 H1,1
S&P/TSX Composite,Canada,Mayo M Schmidt,1.01684E+13,1016835,2754066,Male,NUTRIEN LTD,No,NTR,President/CEO,18/04/2021,00:00.0,261,0.715068493,2021,4,2,H1,Chemicals,Industrial & Natural Resources,Internal,37884000000,29199975308,2021 H1,1
ASX 200,Australia,Doctor Jack G Truong,1.12106E+11,1121059,17281,Male,JAMES HARDIE INDUSTRIES PLC,No,JHX,CEO,31/01/2019,00:00.0,1071,2.934246575,2019,1,1,H1,Construction & Building Materials,Industrial & Natural Resources,Internal,3777100000,11660341142,2019 H1,1
FTSE 250,UK,Kevin George Hostetler,1.07421E+11,1074209,26583,Male,ROTORK PLC,No,ROR,CEO,12/03/2018,00:00.0,1400,3.835616438,2018,3,1,H1,Engineering & Machinery,Industrial & Natural Resources,Internal,776432067,3202235449,2018 H1,1
S&P/TSX Composite,Canada,P (Gord) Gordon Stothart,59019715361,590197,15361,Male,IAMGOLD CORP,No,IMG,President/CEO,01/03/2020,00:00.0,682,1.868493151,2020,3,1,H1,Mining,Industrial & Natural Resources,Internal,958800000,1223819399,2020 H1,1
ASX 200,Australia,Reinhold Schmidt,8.79338E+11,879337,744425,Male,NEW HOPE CORP LTD,No,NHC,CEO,01/09/2020,00:00.0,500,1.369863014,2020,9,3,H2,Mining,Industrial & Natural Resources,External,1784486200,2820280120,2020 H2,1
S&P 500,USA,Matthew (Matt) O Maddox,4.88858E+11,488858,136226,Male,WYNN RESORTS LTD,No,WYNN,CEO,06/02/2018,00:00.0,1455,3.98630137,2018,2,1,H1,Leisure & Hotels,Consumer,Internal,3756825000,11327439581,2018 H1,1
Nikkei 225,Japan,Tatsufumi Sakai,1.1927E+12,1192695,941102,Male,MIZUHO FINANCIAL GROUP INC,No,8411,President/Group CEO (Representative Executive Officer),01/04/2018,00:00.0,1402,3.84109589,2018,4,2,H1,Banks,Financial Services,Internal,28416643498,39377197272,2018 H1,1
S&P 500,USA,Kevin J Fletcher,88520333607,885203,33607,Male,WEC ENERGY GROUP INC (Wisconsin Energy Corp prior to 06/2015),No,WEC,President/CEO,01/02/2019,00:00.0,1096,3.002739726,2019,2,1,H1,Utilities - Other,Industrial & Natural Resources,Internal,9597400000,28381221926,2019 H1,1
